neighbourhood_group_cleansed,neighbourhood_cleansed,avg_price
Brooklyn,Bath Beach,10695.454545454546
Brooklyn,Bay Ridge,12075.675675675675
Brooklyn,Bedford-Stuyvesant,13356.74633770239
Brooklyn,Bensonhurst,9770.833333333334
Brooklyn,Bergen Beach,19020
Brooklyn,Boerum Hill,23544.354838709678
Brooklyn,Borough Park,7865.789473684211
Brooklyn,Brighton Beach,10940.677966101695
Brooklyn,Brooklyn Heights,17294.074074074073
Brooklyn,Brownsville,13891.176470588236
Brooklyn,Bushwick,10887.303664921466
Brooklyn,Canarsie,16255.135135135135
Brooklyn,Carroll Gardens,21739.655172413793
Brooklyn,Clinton Hill,18633.518005540165
Brooklyn,Cobble Hill,26506.944444444445
Brooklyn,Columbia St,23226.470588235294
Brooklyn,Coney Island,13337.5
Brooklyn,Crown Heights,13533.391003460207
Brooklyn,Cypress Hills,11259.85401459854
Brooklyn,Downtown Brooklyn,25778.846153846152
Brooklyn,DUMBO,28138.095238095237
Brooklyn,Dyker Heights,9161.538461538461
Brooklyn,East Flatbush,12938.398357289529
Brooklyn,East New York,11641.35593220339
Brooklyn,Flatbush,13158.76993166287
Brooklyn,Flatlands,13653.846153846154
Brooklyn,Fort Greene,18780.996884735203
Brooklyn,Fort Hamilton,10040
Brooklyn,Gerritsen Beach,20325
Brooklyn,Gowanus,22523.841059602648
Brooklyn,Gravesend,12564.406779661016
Brooklyn,Green-Wood Cemetery,14755.555555555555
Brooklyn,Greenpoint,17240.581929555898
Brooklyn,Kensington,13467.521367521367
Brooklyn,Manhattan Beach,10200
Brooklyn,Marine Park,15421.42857142857
Brooklyn,Midwood,8930.12048192771
Brooklyn,Mill Basin,13310
Brooklyn,Navy Yard,24755.555555555555
Brooklyn,Park Slope,22834.55149501661
Brooklyn,Prospect Heights,17946.79802955665
Brooklyn,Prospect Park,50150
Brooklyn,Prospect-Lefferts Gardens,12284.63476070529
Brooklyn,Red Hook,24987.037037037036
Brooklyn,Sea Gate,35971.42857142857
Brooklyn,Sheepshead Bay,21517.218543046358
Brooklyn,South Slope,16872.58064516129
Brooklyn,Sunset Park,11887.857142857143
Brooklyn,Vinegar Hill,21520
Brooklyn,Williamsburg,17316.93851944793
Brooklyn,Windsor Terrace,16513.636363636364
Manhattan,Battery Park City,22785.714285714286
Manhattan,Central Park,33145.61403508772
Manhattan,Chelsea,26038.992974238878
Manhattan,Chinatown,21201.34529147982
Manhattan,Civic Center,19861.53846153846
Manhattan,East Harlem,17071.58931082982
Manhattan,East Village,21734.795321637426
Manhattan,Ellis Island,21142.1875
Manhattan,Financial District,34749.89200863931
Manhattan,Flatiron District,48853.030303030304
Manhattan,Gramercy,24561.79245283019
Manhattan,Greenwich Village,29679.601990049752
Manhattan,Harlem,15798.349834983499
Manhattan,Hell's Kitchen,27143.07387862797
Manhattan,Inwood,8736.180904522613
Manhattan,Kips Bay,24264
Manhattan,Little Italy,19649.056603773584
Manhattan,Lower East Side,27482.53768844221
Manhattan,Marble Hill,11662.5
Manhattan,Midtown,41341.02730819246
Manhattan,Morningside Heights,13262.566844919786
Manhattan,Murray Hill,30218.42105263158
Manhattan,NoHo,27525
Manhattan,Nolita,22684.43396226415
Manhattan,Roosevelt Island,12797.916666666666
Manhattan,SoHo,38236.28318584071
Manhattan,Stuyvesant Town,18262.745098039217
Manhattan,Theater District,49222.96819787986
Manhattan,Tribeca,55937.69633507854
Manhattan,Two Bridges,14004.761904761905
Manhattan,Upper East Side,23785.668276972625
Manhattan,Upper West Side,22888.223812621993
Manhattan,Washington Heights,11712.455516014235
Manhattan,West Village,31654.4964028777
